,word,tf-idf
0,보다,0.42711106678273236
1,가다,0.21675160259858392
2,공연,0.2138460851374769
3,좋다,0.21210277466081268
4,없다,0.17316884068197858
5,않다,0.15050580448534379
6,들다,0.1388837346409157
7,오다,0.13539711368758728
8,전시,0.13191049273425884
9,작품,0.13016718225759463
10,아니다,0.12900497527315183
11,싶다,0.12028842288983076
12,진짜,0.1138962844753953
13,생각,0.11215297399873109
14,사진,0.11215297399873109
15,작가,0.10692304256873846
16,되어다,0.10459862859985283
17,문화,0.09936869716986019
18,자다,0.09936869716986019
19,많다,0.09762538669319598
20,먹다,0.09588207621653176
21,사람,0.09471986923208896
22,그렇다,0.09355766224764614
23,오늘,0.09123324827876052
24,나오다,0.08193559240321804
25,그림,0.08193559240321804
26,보고,0.08077338541877524
27,예술,0.07786786795766822
28,여름,0.07728676446544681
29,찍다,0.07612455748100401
30,연극,0.07263793652767557
31,받다,0.07263793652767557
32,좋아하다,0.07031352255878996
33,음악,0.07031352255878996
34,뮤지컬,0.06973241906656856
35,장르,0.06798910858990434
36,미술관,0.06740800509768294
37,사랑,0.06566469462101872
38,노래,0.06217807366769029
39,이렇다,0.06159697017546889
40,정말,0.06159697017546889
41,관람,0.06043476319102608
42,해주다,0.05985365969880468
43,이야기,0.058110349222140464
44,코로나,0.05694814223769765
45,시작,0.05694814223769765
46,모르다,0.05694814223769765
47,다시,0.056367038745476244
48,무대,0.05578593525325484
49,다양하다,0.05578593525325484
50,만들다,0.05520483176103344
51,마음,0.05404262477659063
52,처음,0.05346152128436923
53,카페,0.05288041779214782
54,아트,0.05288041779214782
55,알다,0.05171821080770501
56,돼다,0.05171821080770501
57,친구,0.051137107315483606
58,그냥,0.051137107315483606
59,해보다,0.050556003823262204
60,귀엽다,0.04881269334659799
61,공간,0.04823158985437658
62,즐기다,0.04823158985437658
63,느끼다,0.04765048636215518
64,나다,0.04706938286993377
65,지금,0.04706938286993377
66,만나다,0.04648827937771237
67,영화,0.04648827937771237
68,크다,0.04648827937771237
69,전시회,0.04648827937771237
70,주다,0.04590717588549097
71,콘서트,0.04590717588549097
72,쓰다,0.044163865408826754
73,사실,0.044163865408826754
74,진행,0.043582761916605345
75,때문,0.043582761916605345
76,정도,0.04300165842438394
77,넘다,0.042420554932162534
78,읽다,0.04183945143994113
79,그리다,0.04183945143994113
80,재밌다,0.04183945143994113
81,마지막,0.04125834794771973
82,두다,0.04125834794771973
83,미술,0.04125834794771973
84,서울,0.04009614096327692
85,배우,0.03893393397883411
86,축제,0.03893393397883411
87,맞다,0.03893393397883411
88,영상,0.03893393397883411
89,차다,0.03893393397883411
90,끝나다,0.03893393397883411
91,활동,0.0377717269943913
92,예쁘다,0.037190623502169895
93,버리다,0.037190623502169895
94,느낌,0.03660952000994849
95,준비,0.036028416517727084
96,소개,0.03544731302550568
97,위해,0.03544731302550568
98,찾다,0.03486620953328428
99,요즘,0.03486620953328428
100,기획,0.03370400254884147
101,살다,0.03370400254884147
102,갈다,0.03370400254884147
103,기억,0.03254179556439866
104,보이다,0.03254179556439866
105,즐겁다,0.031960692072177256
106,보내다,0.031960692072177256
107,모습,0.03137958857995585
108,생카,0.031035385935645556
109,세계,0.030798485087734445
110,듣다,0.030798485087734445
111,기분,0.03021738159551304
112,박물관,0.03021738159551304
113,늘다,0.03021738159551304
114,소리,0.03021738159551304
115,한번,0.03021738159551304
116,장소,0.029636278103291634
117,티켓,0.029636278103291634
118,가보다,0.029636278103291634
119,여행,0.029055174611070232
120,계속,0.029055174611070232
121,멋지다,0.028474071118848827
122,역시,0.028474071118848827
123,갤러리,0.028474071118848827
124,프로그램,0.028474071118848827
125,새롭다,0.028474071118848827
126,가기,0.028474071118848827
127,지원,0.02789296762662742
128,날씨,0.027311864134406016
129,나가다,0.027311864134406016
130,써다,0.026730760642184614
131,맛있다,0.026730760642184614
132,올리다,0.026730760642184614
133,일산,0.026565130965641653
134,강박,0.026565130965641653
135,아주,0.02614965714996321
136,이제,0.02614965714996321
137,추천,0.02614965714996321
138,하루,0.02614965714996321
139,생일,0.026107945052101365
140,가지,0.025568553657741803
141,가장,0.025568553657741803
142,행복하다,0.025568553657741803
143,드로잉,0.024987450165520397
144,드리다,0.024987450165520397
145,감사하다,0.024987450165520397
146,거리,0.024987450165520397
147,통해,0.024987450165520397
148,예매,0.024987450165520397
149,작업,0.024987450165520397
150,올해,0.024987450165520397
151,내다,0.024406346673298995
152,공부,0.024406346673298995
153,자리,0.024406346673298995
154,관객,0.024406346673298995
155,다니다,0.024406346673298995
156,피아노,0.02382524318107759
157,갑자기,0.02382524318107759
158,바라다,0.02382524318107759
159,진심,0.02382524318107759
160,포스팅,0.02382524318107759
161,광주,0.023359740309774904
162,남다,0.023244139688856184
163,내용,0.023244139688856184
164,개인,0.023244139688856184
165,기간,0.023244139688856184
166,들어가다,0.023244139688856184
167,가족,0.023244139688856184
168,부산,0.023244139688856184
169,쉬다,0.02266303619663478
170,동시,0.02266303619663478
171,이쁘다,0.02266303619663478
172,아쉽다,0.02266303619663478
173,보기,0.02266303619663478
174,기다리다,0.02266303619663478
175,회관,0.022081932704413377
176,열리다,0.022081932704413377
177,수업,0.022081932704413377
178,극장,0.022081932704413377
179,일상,0.022081932704413377
180,최고,0.022081932704413377
181,대전,0.021985637938611673
182,가을,0.02150082921219197
183,놀다,0.02150082921219197
184,밴드,0.02150082921219197
185,끄다,0.02150082921219197
186,웃기다,0.02150082921219197
187,다녀오다,0.020919725719970566
188,지다,0.020919725719970566
189,한국,0.020919725719970566
