,word,tf-idf
0,생각,0.3114050329332987
1,상담,0.285099128324778
2,스트레스,0.22893246713361226
3,도움,0.20120462173544185
4,하는,0.18982909541824372
5,마음,0.18840715462859395
6,친구,0.18271939146999489
7,사람,0.18200842107516998
8,입니다,0.16778901317867234
9,자신,0.16423416120454792
10,우울증,0.15499154607182444
11,있는,0.14930378291322538
12,감정,0.13508437501672774
13,있습니다,0.12726370067365403
14,우울,0.12299787830470472
15,방법,0.1194430263305803
16,청소년,0.10735652961855731
17,센터,0.10237973685478312
18,시간,0.10024682567030847
19,좋은,0.09455906251170941
20,운동,0.09171518093240988
21,고민,0.08958226974793523
22,질문,0.08816032895828546
23,합니다,0.08744935856346059
24,해소,0.08531644737898593
25,기분,0.08531644737898593
26,하면,0.08389450658933617
27,같아요,0.07607383224626246
28,상황,0.0703860690876634
29,하고,0.06754218750836387
30,우울한,0.0661202467187141
31,있어요,0.0655664586754139
32,가지,0.06398733553423945
33,경우,0.06398733553423945
34,하지,0.06256539474458969
35,지금,0.061854424349764806
36,됩니다,0.06114345395493992
37,치료,0.06043248356011504
38,이야기,0.05687763158599062
39,혼자,0.055455690796340856
40,공부,0.05332277961186621
41,보세요,0.052611809217041325
42,취미,0.052116928690713625
43,같은,0.05118986842739156
44,대한,0.05118986842739156
45,해서,0.05047889803256668
46,되는,0.05047889803256668
47,사이버,0.05047889803256668
48,이런,0.05047889803256668
49,활동,0.05043573744262608
50,하기,0.04976792763774179
51,어떤,0.049056957242916914
52,때문,0.04834598684809203
53,우울할,0.04763501645326715
54,문제,0.04692404605844226
55,받아,0.04621307566361738
56,정말,0.04621307566361738
57,그런,0.045502105268792496
58,보면,0.04479113487396762
59,가장,0.04479113487396762
60,수도,0.04408016447914273
61,안녕하세요,0.04408016447914273
62,대해,0.04408016447914273
63,부모님,0.043710972450275935
64,하세요,0.043710972450275935
65,해보세요,0.04336919408431785
66,좋아하는,0.04287037682623217
67,전화,0.042658223689492965
68,하면서,0.042658223689492965
69,다른,0.042658223689492965
70,자기,0.042658223689492965
71,그냥,0.042658223689492965
72,관계,0.0420297812021884
73,한다,0.04052531250501832
74,스스로,0.04052531250501832
75,증상,0.04052531250501832
76,하나,0.04052531250501832
77,극복,0.040348589954100865
78,한번,0.03981434211019344
79,있을,0.03981434211019344
80,어떻게,0.039103371715368554
81,주변,0.039103371715368554
82,본인,0.039103371715368554
83,정신,0.039103371715368554
84,있고,0.038392401320543675
85,추천,0.038392401320543675
86,행동,0.038392401320543675
87,해야,0.038392401320543675
88,정도,0.03768143092571879
89,조금,0.03768143092571879
90,걱정,0.03697046053089391
91,힘든,0.03697046053089391
92,해결,0.03625949013606902
93,이유,0.03625949013606902
94,매일,0.03554851974124414
95,좋습니다,0.03554851974124414
96,노력,0.03554851974124414
97,되고,0.03483754934641926
98,우울함,0.03483754934641926
99,긍정,0.03483754934641926
100,산책,0.03446442058579449
101,음악,0.033623824961750724
102,계속,0.03341560855676949
103,통해,0.03341560855676949
104,생활,0.03341560855676949
105,많은,0.03341560855676949
106,전문가,0.03270463816194461
107,원인,0.031993667767119725
108,상태,0.031993667767119725
109,효과,0.031993667767119725
110,복지,0.031993667767119725
111,보는,0.03194263371366319
112,없는,0.031282697372294846
113,집중,0.031282697372294846
114,이해,0.03057172697746996
115,언제,0.03057172697746996
116,라면,0.029860756582645077
117,우리,0.029149786187820194
118,현재,0.029149786187820194
119,관련,0.029149786187820194
120,드네,0.028890660467024196
121,학교,0.028580251217488115
122,답변,0.02843881579299531
123,싶은,0.02843881579299531
124,무엇,0.02843881579299531
125,보고,0.02843881579299531
126,어려움,0.02843881579299531
127,비공개,0.027978834319079233
128,건강,0.027739655593444344
129,당신,0.027727845398170428
130,같습니다,0.027727845398170428
131,바랍니다,0.027016875003345545
132,명상,0.027016875003345545
133,또한,0.027016875003345545
134,시기,0.027016875003345545
135,받을,0.027016875003345545
136,기억,0.027016875003345545
137,대화,0.026305904608520662
138,보시,0.026305904608520662
139,목표,0.026058464345356813
140,음식,0.02559493421369578
141,작성자,0.02559493421369578
142,위로,0.02559493421369578
143,있다고,0.024883963818870897
144,받고,0.024883963818870897
145,무기,0.024883963818870897
146,불안,0.024883963818870897
147,공감,0.024377273097269274
148,좋을,0.024172993424046014
149,남자친구,0.023981857987782195
150,해요,0.023536677473225506
151,어떨까,0.023536677473225506
152,누구,0.02346202302922113
153,우선,0.02346202302922113
154,관리,0.02346202302922113
155,노래,0.02346202302922113
156,아니라,0.02346202302922113
157,기도,0.02346202302922113
158,되어,0.02346202302922113
159,진짜,0.022751052634396248
160,시작,0.022751052634396248
161,하루,0.022751052634396248
162,병원,0.022751052634396248
163,있으면,0.022696081849181735
164,마세요,0.022696081849181735
165,자주,0.022696081849181735
166,먼저,0.022040082239571365
167,중요합니다,0.022040082239571365
168,정신과,0.022040082239571365
169,세상,0.022040082239571365
170,하게,0.022040082239571365
171,지속,0.022040082239571365
172,감소,0.022040082239571365
173,받는,0.022040082239571365
174,채팅,0.02198336982213368
175,읽어,0.021855486225137968
176,개소,0.021667995350268147
177,부정,0.021329111844746482
178,거나,0.021329111844746482
179,모든,0.021329111844746482
180,들어,0.021329111844746482
181,하며,0.021329111844746482
182,아니면,0.0210148906010942
183,인생,0.020618141449921603
184,변화,0.020618141449921603
185,하시면,0.020618141449921603
186,이상,0.020618141449921603
187,위해,0.020618141449921603
188,참고,0.020618141449921603
189,글쓴이님,0.020464217830808807
190,링크,0.020174294977050432
191,전문,0.020174294977050432
192,해보고,0.020174294977050432
