,word,tf-idf
0,보다,0.38894758604718355
1,공연,0.2379444055818064
2,작품,0.19584654920964065
3,좋다,0.1949313784189414
4,가다,0.1834917435352007
5,오다,0.152375936651426
6,없다,0.14276664334908384
7,들다,0.13681803320953867
8,전시,0.1336149354420913
9,않다,0.1336149354420913
10,사진,0.13132700846534315
11,아니다,0.1240056421397491
12,예술,0.11393876344205729
13,사람,0.10341429934901586
14,자다,0.10249912855831661
15,많다,0.09792327460482032
16,되어다,0.0974656892094707
17,생각,0.09609293302342181
18,오늘,0.09472017683737294
19,싶다,0.09288983525597443
20,진짜,0.09151707906992554
21,문화,0.08739881051177889
22,여름,0.08694122511642927
23,그렇다,0.08556846893038038
24,작가,0.08511088353503075
25,무대,0.08053502958153448
26,보고,0.07961985879083522
27,나오다,0.07870468800013597
28,다양하다,0.0759591756280382
29,관람,0.07184090706989155
30,음악,0.06863780930244416
31,먹다,0.0677226385117449
32,미술관,0.06680746772104565
33,아트,0.06634988232569601
34,정말,0.06451954074429751
35,장르,0.06360436995359825
36,영화,0.06314678455824863
37,찍다,0.06223161376754937
38,만나다,0.06177402837219974
39,시작,0.06131644297685011
40,축제,0.06131644297685011
41,해보다,0.06085885758150048
42,영상,0.06040127218615086
43,마음,0.059943686790801226
44,미술,0.05902851600010197
45,알다,0.058570930604752346
46,진행,0.058570930604752346
47,이야기,0.05811334520940272
48,통해,0.05765575981405309
49,뮤지컬,0.05765575981405309
50,크다,0.05765575981405309
51,사랑,0.0544526620466057
52,모습,0.0544526620466057
53,주다,0.053995076651256066
54,만들다,0.053995076651256066
55,그림,0.053995076651256066
56,처음,0.05353749125590644
57,받다,0.05353749125590644
58,추천,0.05353749125590644
59,코로나,0.05353749125590644
60,노래,0.052622320465207185
61,해주다,0.05170714967450793
62,좋아하다,0.05033439348845905
63,보이다,0.04941922269775979
64,배우,0.04896163730241016
65,이렇다,0.048046466511710906
66,느낌,0.048046466511710906
67,공간,0.04758888111636128
68,소개,0.046673710325662025
69,모르다,0.046673710325662025
70,넘다,0.046673710325662025
71,연극,0.0462161249303124
72,콘서트,0.04575853953496277
73,피아노,0.04484336874426351
74,가장,0.043013027162865
75,다시,0.04164027097681612
76,느끼다,0.04118268558146649
77,때문,0.040725100186116865
78,프로그램,0.039352344000067985
79,드리다,0.039352344000067985
80,새롭다,0.039352344000067985
81,쓰다,0.03843717320936873
82,마지막,0.03843717320936873
83,지금,0.03843717320936873
84,여행,0.0379795878140191
85,돼다,0.0379795878140191
86,소리,0.0379795878140191
87,대한,0.03752200241866947
88,읽다,0.03752200241866947
89,표현,0.03752200241866947
90,감상,0.03752200241866947
91,위해,0.03706441702331984
92,한국,0.03706441702331984
93,즐기다,0.03660683162797022
94,맞다,0.036149246232620585
95,장소,0.036149246232620585
96,들어가다,0.036149246232620585
97,내다,0.03569166083727096
98,사실,0.03523407544192133
99,하루,0.03523407544192133
100,카페,0.03523407544192133
101,국악,0.034776490046571705
102,체험,0.034776490046571705
103,친구,0.034776490046571705
104,일상,0.03431890465122208
105,그리다,0.03431890465122208
106,자연,0.03431890465122208
107,보내다,0.03431890465122208
108,관객,0.03386131925587245
109,버리다,0.03294614846517319
110,연주,0.03248856306982357
111,기간,0.03248856306982357
112,활동,0.03203097767447394
113,나다,0.03203097767447394
114,행사,0.03203097767447394
115,늘다,0.03203097767447394
116,그냥,0.031115806883774685
117,기억,0.031115806883774685
118,파주,0.030990376880065205
119,정보,0.030658221488425057
120,갈다,0.030658221488425057
121,아름답다,0.030658221488425057
122,예쁘다,0.030658221488425057
123,티켓,0.03020063609307543
124,서울,0.03020063609307543
125,이제,0.03020063609307543
126,듣다,0.0297430506977258
127,지원,0.0297430506977258
128,요즘,0.0297430506977258
129,담다,0.029285465302376173
130,끝나다,0.029285465302376173
131,서점,0.028827879907026545
132,거리,0.028827879907026545
133,자리,0.028827879907026545
134,세계,0.028370294511676917
135,가보다,0.028370294511676917
136,대표,0.028370294511676917
137,두다,0.028370294511676917
138,동시,0.02791270911632729
139,따르다,0.02791270911632729
140,확인,0.02791270911632729
141,즐겁다,0.02791270911632729
142,마임,0.027654173207182612
143,멋지다,0.02745512372097766
144,모든,0.02745512372097766
145,서다,0.02745512372097766
146,포스팅,0.02745512372097766
147,방문,0.02745512372097766
148,온라인,0.02745512372097766
149,준비,0.02745512372097766
150,무용,0.026997538325628033
151,센터,0.026997538325628033
152,감사하다,0.026997538325628033
153,대학로,0.026539952930278405
154,락킹,0.026341820348055423
155,악기,0.02608236753492878
156,참여,0.02608236753492878
157,음악회,0.02608236753492878
158,입장,0.02608236753492878
159,살다,0.02608236753492878
160,산수화,0.02592794701248617
161,인생,0.025624782139579153
162,직접,0.025624782139579153
163,오후,0.025624782139579153
164,앉다,0.025167196744229525
165,가기,0.025167196744229525
166,학원,0.025167196744229525
167,남다,0.025167196744229525
168,역시,0.025167196744229525
169,교육,0.025167196744229525
170,재밌다,0.025167196744229525
171,사이,0.024709611348879897
172,써다,0.024709611348879897
173,아쉽다,0.024709611348879897
174,작다,0.024709611348879897
175,가지,0.02425202595353027
176,귀엽다,0.02425202595353027
177,느껴지다,0.02425202595353027
178,작업,0.02379444055818064
179,설명,0.02379444055818064
180,바람,0.02379444055818064
181,찾다,0.02379444055818064
182,주제,0.02379444055818064
183,관심,0.023336855162831013
184,현대,0.023336855162831013
185,쉬다,0.023336855162831013
186,하늘,0.023336855162831013
187,기다리다,0.023336855162831013
188,예매,0.023336855162831013
189,차다,0.023336855162831013
190,정도,0.023336855162831013
191,후기,0.022879269767481385
